goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGoPool/Sleep=001ms/Concurrency=100-2     	 1000000	       917.5 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=100-2     	 1000000	       981.7 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=100-2     	 1000000	       838.8 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=1-2       	 1000000	       908.5 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=1-2       	 1000000	       912.0 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=1-2       	 1000000	       887.7 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=1-2       	 1000000	       936.9 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=1-2       	 1000000	       930.0 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=10-2      	 1000000	       920.3 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=10-2      	 1000000	       851.9 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=10-2      	 1000000	       936.2 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=10-2      	 1000000	       939.4 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=10-2      	 1000000	       839.6 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=50-2      	 1000000	      1045 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=50-2      	 1000000	      1006 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=50-2      	 1000000	       900.3 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=50-2      	 1000000	       979.8 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=50-2      	 1000000	       910.3 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=100-2     	 1000000	       944.0 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=100-2     	 1000000	       881.2 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=100-2     	 1000000	       918.2 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=100-2     	 1000000	      1069 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/Sleep=010ms/Concurrency=100-2     	 1000000	       831.8 ns/op	     120 B/op	       2 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=1-2        	 1000000	      1576 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=1-2        	 1000000	      1660 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=1-2        	 1000000	      1662 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=1-2        	 1000000	      1957 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=1-2        	 1000000	      1505 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=10-2       	 1000000	      2029 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=10-2       	 1000000	      1648 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=10-2       	 1000000	      1408 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=10-2       	 1000000	      1551 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=10-2       	 1000000	      1471 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=50-2       	 1000000	      1576 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=50-2       	 1000000	      1419 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=50-2       	 1000000	      1548 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=50-2       	 1000000	      1476 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=50-2       	 1000000	      1617 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=100-2      	 1000000	      1411 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=100-2      	 1000000	      1500 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=100-2      	 1000000	      1449 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=100-2      	 1000000	      1830 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=1kB/Concurrency=100-2      	 1000000	      1533 ns/op	     248 B/op	       5 allocs/op
