goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkConsumer/10KB/Franz@ConsumePartition-8        	   10000	     79604 ns/op	   11768 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumePartition-8        	   10000	     84983 ns/op	   11771 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumePartition-8        	   10000	     82921 ns/op	   11770 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Goka@Consumer-8                 	   10000	       192.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Goka@Consumer-8                 	   10000	       199.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Goka@Consumer-8                 	   10000	       205.4 ns/op	       7 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Goka@Consumer-8                 	   10000	       191.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Goka@Consumer-8                 	   10000	       188.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumerGroup-8          	   10000	       206.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumerGroup-8          	   10000	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumerGroup-8          	   10000	       223.4 ns/op	       2 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumerGroup-8          	   10000	       198.1 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumerGroup-8          	   10000	       187.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumePartition-8       	   10000	     46083 ns/op	    9896 B/op	      11 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumePartition-8       	   10000	     32302 ns/op	    7767 B/op	       7 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumePartition-8       	   10000	     27106 ns/op	    5060 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumePartition-8       	   10000	     25557 ns/op	    5742 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Sarama@ConsumePartition-8       	   10000	     19761 ns/op	    4266 B/op	       3 allocs/op
BenchmarkConsumer/10KB/Segmentio@ConsumerFetch-8       	   10000	     17773 ns/op	   13277 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Segmentio@ConsumerFetch-8       	   10000	     18160 ns/op	   12134 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Segmentio@ConsumerFetch-8       	   10000	     17070 ns/op	   11656 B/op	       3 allocs/op
BenchmarkConsumer/10KB/Segmentio@ConsumerFetch-8       	   10000	     17208 ns/op	   11319 B/op	       3 allocs/op
BenchmarkConsumer/10KB/Segmentio@ConsumerFetch-8       	   10000	     16341 ns/op	   11335 B/op	       3 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark/kafkaclient	144.427s
