goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkProducer/10KB_-_Segmentio@Produce-8        	    1000	  12160032 ns/op	   41586 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@Produce-8        	    1000	  12209663 ns/op	   41446 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@Produce-8        	    1000	  12242220 ns/op	   41444 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@Produce-8        	    1000	  12229655 ns/op	   41495 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceChannel-8 	    1000	    176800 ns/op	   35131 B/op	      15 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceChannel-8 	    1000	     73437 ns/op	   32487 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceChannel-8 	    1000	     46515 ns/op	   26154 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceChannel-8 	    1000	     43637 ns/op	   26155 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceChannel-8 	    1000	     22926 ns/op	   26158 B/op	      12 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark/kafka-client	2042.597s
