goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkProducer/10KB/Confluent@ProduceSync-8         	   10000	   9717392 ns/op	   33690 B/op	      27 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceSync-8         	   10000	   9714508 ns/op	   33611 B/op	      27 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceSync-8         	   10000	   9720068 ns/op	   33639 B/op	      27 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceSync-8         	   10000	   9697254 ns/op	   33657 B/op	      27 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceSync-8         	   10000	   9720258 ns/op	   33594 B/op	      26 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceAsync-8        	   10000	     17325 ns/op	   32996 B/op	      15 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceAsync-8        	   10000	     16257 ns/op	   32999 B/op	      15 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceAsync-8        	   10000	     17017 ns/op	   32998 B/op	      15 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceAsync-8        	   10000	     16484 ns/op	   32997 B/op	      15 allocs/op
BenchmarkProducer/10KB/Confluent@ProduceAsync-8        	   10000	     15606 ns/op	   32996 B/op	      15 allocs/op
BenchmarkProducer/10KB/Franz@ProduceSync-8             	   10000	   3428969 ns/op	   24777 B/op	      63 allocs/op
BenchmarkProducer/10KB/Franz@ProduceSync-8             	   10000	   3369505 ns/op	   24593 B/op	      62 allocs/op
BenchmarkProducer/10KB/Franz@ProduceSync-8             	   10000	   3387005 ns/op	   24607 B/op	      62 allocs/op
BenchmarkProducer/10KB/Franz@ProduceSync-8             	   10000	   3360235 ns/op	   24654 B/op	      62 allocs/op
BenchmarkProducer/10KB/Franz@ProduceSync-8             	   10000	   3396704 ns/op	   24653 B/op	      62 allocs/op
BenchmarkProducer/10KB/Franz@ProduceAsync-8            	   10000	      9743 ns/op	   25185 B/op	      16 allocs/op
BenchmarkProducer/10KB/Franz@ProduceAsync-8            	   10000	      9755 ns/op	   25798 B/op	      16 allocs/op
BenchmarkProducer/10KB/Franz@ProduceAsync-8            	   10000	      8937 ns/op	   26730 B/op	      15 allocs/op
BenchmarkProducer/10KB/Franz@ProduceAsync-8            	   10000	      9642 ns/op	   26784 B/op	      15 allocs/op
BenchmarkProducer/10KB/Franz@ProduceAsync-8            	   10000	     10099 ns/op	   26326 B/op	      15 allocs/op
BenchmarkProducer/10KB/Goka@ProduceSync-8              	   10000	 103843376 ns/op	   56682 B/op	     139 allocs/op
