goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkConsumer/10KB_-_Franz@ConsumePartition-8       	  100000	     98891 ns/op	   12043 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumePartition-8       	  100000	     94576 ns/op	   12043 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Goka@Consumer-8                	  100000	       156.5 ns/op	     335 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Goka@Consumer-8                	  100000	       138.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Goka@Consumer-8                	  100000	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Goka@Consumer-8                	  100000	       137.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Goka@Consumer-8                	  100000	       142.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumerGroup-8         	  100000	       227.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumerGroup-8         	  100000	       152.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumerGroup-8         	  100000	       240.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumerGroup-8         	  100000	       233.9 ns/op	     230 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumerGroup-8         	  100000	       153.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumePartition-8      	  100000	     97287 ns/op	   11712 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumePartition-8      	  100000	     90040 ns/op	   11724 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumePartition-8      	  100000	     92238 ns/op	   12070 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumePartition-8      	  100000	     97110 ns/op	   12405 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Sarama@ConsumePartition-8      	  100000	     94746 ns/op	   12068 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Segmentio@ConsumerFetch-8      	  100000	     69489 ns/op	   11919 B/op	       3 allocs/op
BenchmarkConsumer/10KB_-_Segmentio@ConsumerFetch-8      	  100000	     66144 ns/op	   11818 B/op	       3 allocs/op
BenchmarkConsumer/10KB_-_Segmentio@ConsumerFetch-8      	  100000	     66026 ns/op	   11834 B/op	       3 allocs/op
BenchmarkConsumer/10KB_-_Segmentio@ConsumerFetch-8      	  100000	     65988 ns/op	   11836 B/op	       3 allocs/op
BenchmarkConsumer/10KB_-_Segmentio@ConsumerFetch-8      	  100000	     65724 ns/op	   11844 B/op	       3 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark/kafka-client	475.758s
