goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFastCache/05KB/Get-2           	  100000	       513.3 ns/op	     370 B/op	       3 allocs/op
BenchmarkFastCache/05KB/Get-2           	  100000	       732.5 ns/op	     370 B/op	       3 allocs/op
BenchmarkFastCache/05KB/Remove-2        	  100000	       189.7 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/05KB/Remove-2        	  100000	       177.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/05KB/Remove-2        	  100000	       163.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/05KB/Remove-2        	  100000	       152.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/05KB/Remove-2        	  100000	       163.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/10KB/Set-2           	  100000	      8105 ns/op	   11018 B/op	       5 allocs/op
BenchmarkFastCache/10KB/Set-2           	  100000	      7413 ns/op	   11020 B/op	       5 allocs/op
BenchmarkFastCache/10KB/Set-2           	  100000	     12633 ns/op	   11019 B/op	       5 allocs/op
BenchmarkFastCache/10KB/Set-2           	  100000	     10450 ns/op	   11020 B/op	       5 allocs/op
BenchmarkFastCache/10KB/Set-2           	  100000	     11548 ns/op	   11020 B/op	       5 allocs/op
BenchmarkFastCache/10KB/Get-2           	  100000	       475.0 ns/op	     374 B/op	       3 allocs/op
BenchmarkFastCache/10KB/Get-2           	  100000	       679.3 ns/op	     374 B/op	       3 allocs/op
BenchmarkFastCache/10KB/Get-2           	  100000	       490.3 ns/op	     374 B/op	       3 allocs/op
BenchmarkFastCache/10KB/Get-2           	  100000	       662.1 ns/op	     374 B/op	       3 allocs/op
BenchmarkFastCache/10KB/Get-2           	  100000	      1025 ns/op	     374 B/op	       3 allocs/op
BenchmarkFastCache/10KB/Remove-2        	  100000	       324.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/10KB/Remove-2        	  100000	       206.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/10KB/Remove-2        	  100000	       236.0 ns/op	      39 B/op	       2 allocs/op
