goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-json
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkStdLib/01KB/Interface@Decode-2           	  100000	     19467 ns/op	    8096 B/op	     170 allocs/op
BenchmarkStdLib/01KB/Interface@Decode-2           	  100000	     17917 ns/op	    8096 B/op	     170 allocs/op
BenchmarkStdLib/01KB/Interface@Unmarshal-2        	  100000	     14516 ns/op	    5264 B/op	     158 allocs/op
BenchmarkStdLib/01KB/Interface@Unmarshal-2        	  100000	     12799 ns/op	    5264 B/op	     158 allocs/op
BenchmarkStdLib/01KB/Interface@Unmarshal-2        	  100000	     13399 ns/op	    5264 B/op	     158 allocs/op
BenchmarkStdLib/01KB/Interface@Unmarshal-2        	  100000	     13316 ns/op	    5264 B/op	     158 allocs/op
BenchmarkStdLib/01KB/Interface@Unmarshal-2        	  100000	     12795 ns/op	    5264 B/op	     158 allocs/op
BenchmarkStdLib/05KB/Struct@Decode-2              	  100000	     49266 ns/op	   18448 B/op	      14 allocs/op
BenchmarkStdLib/05KB/Struct@Decode-2              	  100000	     40626 ns/op	   18448 B/op	      14 allocs/op
BenchmarkStdLib/05KB/Struct@Decode-2              	  100000	     45536 ns/op	   18448 B/op	      14 allocs/op
BenchmarkStdLib/05KB/Struct@Decode-2              	  100000	     39543 ns/op	   18448 B/op	      14 allocs/op
BenchmarkStdLib/05KB/Struct@Decode-2              	  100000	     48552 ns/op	   18448 B/op	      14 allocs/op
BenchmarkStdLib/05KB/Struct@Unmarshal-2           	  100000	     60273 ns/op	    5720 B/op	     172 allocs/op
BenchmarkStdLib/05KB/Struct@Unmarshal-2           	  100000	     63002 ns/op	    5720 B/op	     172 allocs/op
BenchmarkStdLib/05KB/Struct@Unmarshal-2           	  100000	     62882 ns/op	    5720 B/op	     172 allocs/op
BenchmarkStdLib/05KB/Struct@Unmarshal-2           	  100000	     59009 ns/op	    5720 B/op	     172 allocs/op
BenchmarkStdLib/05KB/Struct@Unmarshal-2           	  100000	     69408 ns/op	    5720 B/op	     172 allocs/op
BenchmarkStdLib/05KB/Interface@Decode-2           	  100000	     67906 ns/op	   39912 B/op	     843 allocs/op
BenchmarkStdLib/05KB/Interface@Decode-2           	  100000	     73919 ns/op	   39912 B/op	     843 allocs/op
BenchmarkStdLib/05KB/Interface@Decode-2           	  100000	     75054 ns/op	   39912 B/op	     843 allocs/op
BenchmarkStdLib/05KB/Interface@Decode-2           	  100000	     85020 ns/op	   39912 B/op	     843 allocs/op
BenchmarkStdLib/05KB/Interface@Decode-2           	  100000	     68222 ns/op	   39912 B/op	     843 allocs/op
BenchmarkStdLib/05KB/Interface@Unmarshal-2        	  100000	     69051 ns/op	   23144 B/op	     827 allocs/op
BenchmarkStdLib/05KB/Interface@Unmarshal-2        	  100000	     70926 ns/op	   23144 B/op	     827 allocs/op
BenchmarkStdLib/05KB/Interface@Unmarshal-2        	  100000	     74644 ns/op	   23144 B/op	     827 allocs/op
BenchmarkStdLib/05KB/Interface@Unmarshal-2        	  100000	     60871 ns/op	   23144 B/op	     827 allocs/op
BenchmarkStdLib/05KB/Interface@Unmarshal-2        	  100000	     70819 ns/op	   23144 B/op	     827 allocs/op
BenchmarkStdLib/10KB/Struct@Decode-2              	  100000	     85912 ns/op	   37520 B/op	      15 allocs/op
BenchmarkStdLib/10KB/Struct@Decode-2              	  100000	     81841 ns/op	   37520 B/op	      15 allocs/op
BenchmarkStdLib/10KB/Struct@Decode-2              	  100000	     74624 ns/op	   37520 B/op	      15 allocs/op
BenchmarkStdLib/10KB/Struct@Decode-2              	  100000	     79060 ns/op	   37520 B/op	      15 allocs/op
BenchmarkStdLib/10KB/Struct@Decode-2              	  100000	     78293 ns/op	   37520 B/op	      15 allocs/op
BenchmarkStdLib/10KB/Struct@Unmarshal-2           	  100000	    111705 ns/op	   10416 B/op	     340 allocs/op
